category,season,review_year,average_review_score
agro_industria_e_comercio,Fall,2017,3.42
agro_industria_e_comercio,Spring,2017,4.75
agro_industria_e_comercio,Summer,2017,3.88
agro_industria_e_comercio,Winter,2017,3.67
agro_industria_e_comercio,Spring,2018,4.07
agro_industria_e_comercio,Summer,2018,3.94
agro_industria_e_comercio,Winter,2018,4.31
alimentos,Fall,2016,5
alimentos,Fall,2017,4.16
alimentos,Spring,2017,3.83
alimentos,Summer,2017,4.63
alimentos,Winter,2017,4.22
alimentos,Spring,2018,4.22
alimentos,Summer,2018,4.38
alimentos,Winter,2018,3.83
alimentos_bebidas,Fall,2017,3.97
alimentos_bebidas,Spring,2017,4.32
alimentos_bebidas,Summer,2017,4.54
alimentos_bebidas,Winter,2017,5
alimentos_bebidas,Spring,2018,4.37
alimentos_bebidas,Summer,2018,4.55
alimentos_bebidas,Winter,2018,4.37
artes,Fall,2017,4.78
artes,Spring,2017,4.07
artes,Summer,2017,2.8
artes,Winter,2017,4.67
artes,Spring,2018,4.16
artes,Summer,2018,3.91
artes,Winter,2018,3.56
artes_e_artesanato,Spring,2017,5
artes_e_artesanato,Summer,2017,5
artes_e_artesanato,Spring,2018,4
artes_e_artesanato,Summer,2018,4.05
artigos_de_festas,Fall,2017,4.25
artigos_de_festas,Summer,2017,2.33
artigos_de_festas,Spring,2018,3.22
artigos_de_festas,Summer,2018,4.31
artigos_de_festas,Winter,2018,3.29
artigos_de_natal,Fall,2017,3.96
artigos_de_natal,Spring,2017,5
artigos_de_natal,Summer,2017,4.6
artigos_de_natal,Spring,2018,4.22
artigos_de_natal,Summer,2018,4.19
artigos_de_natal,Winter,2018,3.65
audio,Fall,2016,5
audio,Fall,2017,3.65
audio,Spring,2017,3.95
audio,Summer,2017,3.9
audio,Winter,2017,3.64
audio,Spring,2018,3.67
audio,Summer,2018,4.29
audio,Winter,2018,3.73
automotivo,Fall,2016,2.75
automotivo,Fall,2017,4
automotivo,Spring,2017,3.97
automotivo,Summer,2017,4.16
automotivo,Winter,2017,4.14
automotivo,Spring,2018,4.06
automotivo,Summer,2018,4.28
automotivo,Winter,2018,3.92
bebes,Fall,2016,3.43
bebes,Fall,2017,3.95
bebes,Spring,2017,3.93
bebes,Summer,2017,4.26
bebes,Winter,2017,4.38
bebes,Spring,2018,3.96
bebes,Summer,2018,4.2
bebes,Winter,2018,3.77
bebidas,Fall,2017,4.2
bebidas,Spring,2017,3.17
bebidas,Summer,2017,4.6
bebidas,Winter,2017,4.5
bebidas,Spring,2018,4.04
bebidas,Summer,2018,4.06
bebidas,Winter,2018,3.96
beleza_saude,Fall,2016,3.24
beleza_saude,Fall,2017,4.14
beleza_saude,Spring,2017,4.16
beleza_saude,Summer,2017,4.15
beleza_saude,Winter,2017,4.17
beleza_saude,Spring,2018,4.17
beleza_saude,Summer,2018,4.26
beleza_saude,Winter,2018,4
brinquedos,Fall,2016,3.72
brinquedos,Fall,2017,4.14
brinquedos,Spring,2017,4.4
brinquedos,Summer,2017,4.31
brinquedos,Winter,2017,4.34
brinquedos,Spring,2018,4.17
brinquedos,Summer,2018,4.21
brinquedos,Winter,2018,3.75
cama_mesa_banho,Fall,2016,3.38
cama_mesa_banho,Fall,2017,3.7
cama_mesa_banho,Spring,2017,4.03
cama_mesa_banho,Summer,2017,4.08
cama_mesa_banho,Winter,2017,4.13
cama_mesa_banho,Spring,2018,3.88
cama_mesa_banho,Summer,2018,4.11
cama_mesa_banho,Winter,2018,3.72
casa_conforto,Fall,2017,3.71
casa_conforto,Spring,2017,3.64
casa_conforto,Summer,2017,4.07
casa_conforto,Winter,2017,3.83
casa_conforto,Spring,2018,3.56
casa_conforto,Summer,2018,4.3
casa_conforto,Winter,2018,3.84
casa_conforto_2,Fall,2017,4
casa_conforto_2,Spring,2017,5
casa_conforto_2,Summer,2017,4.75
casa_conforto_2,Winter,2017,4.33
casa_conforto_2,Spring,2018,1
casa_conforto_2,Summer,2018,3.33
casa_conforto_2,Winter,2018,2.25
casa_construcao,Fall,2017,3.96
casa_construcao,Spring,2017,3.41
casa_construcao,Summer,2017,3.77
casa_construcao,Winter,2017,5
casa_construcao,Spring,2018,3.92
casa_construcao,Summer,2018,4.22
casa_construcao,Winter,2018,3.66
cds_dvds_musicais,Fall,2017,5
cds_dvds_musicais,Summer,2017,4.38
cds_dvds_musicais,Spring,2018,5
cine_foto,Fall,2017,2
cine_foto,Spring,2017,5
cine_foto,Summer,2017,5
cine_foto,Winter,2017,5
cine_foto,Spring,2018,4.03
cine_foto,Summer,2018,4.46
cine_foto,Winter,2018,4.14
climatizacao,Fall,2016,3.8
climatizacao,Fall,2017,4.03
climatizacao,Spring,2017,4.16
climatizacao,Summer,2017,4.22
climatizacao,Winter,2017,3.79
climatizacao,Spring,2018,3.83
climatizacao,Summer,2018,3.9
climatizacao,Winter,2018,4.02
consoles_games,Fall,2016,3.4
consoles_games,Fall,2017,4.09
consoles_games,Spring,2017,4
consoles_games,Summer,2017,4.26
consoles_games,Winter,2017,4.16
consoles_games,Spring,2018,3.74
consoles_games,Summer,2018,4.13
consoles_games,Winter,2018,3.82
construcao_ferramentas_construcao,Fall,2017,4.07
construcao_ferramentas_construcao,Spring,2017,2.78
construcao_ferramentas_construcao,Summer,2017,4.5
construcao_ferramentas_construcao,Winter,2017,3.14
construcao_ferramentas_construcao,Spring,2018,4.04
construcao_ferramentas_construcao,Summer,2018,4.21
construcao_ferramentas_construcao,Winter,2018,3.83
construcao_ferramentas_ferramentas,Fall,2017,4.21
construcao_ferramentas_ferramentas,Spring,2017,5
construcao_ferramentas_ferramentas,Summer,2017,5
construcao_ferramentas_ferramentas,Spring,2018,4.56
construcao_ferramentas_ferramentas,Summer,2018,4.64
construcao_ferramentas_ferramentas,Winter,2018,4.05
construcao_ferramentas_iluminacao,Fall,2017,3.54
construcao_ferramentas_iluminacao,Summer,2017,4
construcao_ferramentas_iluminacao,Spring,2018,3.96
construcao_ferramentas_iluminacao,Summer,2018,4.24
construcao_ferramentas_iluminacao,Winter,2018,3.81
construcao_ferramentas_jardim,Fall,2017,3.76
construcao_ferramentas_jardim,Spring,2017,3.69
construcao_ferramentas_jardim,Summer,2017,4.3
construcao_ferramentas_jardim,Winter,2017,5
construcao_ferramentas_jardim,Spring,2018,4.21
construcao_ferramentas_jardim,Summer,2018,3.71
construcao_ferramentas_jardim,Winter,2018,4.33
construcao_ferramentas_seguranca,Fall,2017,3.91
construcao_ferramentas_seguranca,Spring,2017,1
construcao_ferramentas_seguranca,Summer,2017,1
construcao_ferramentas_seguranca,Winter,2017,5
construcao_ferramentas_seguranca,Spring,2018,3.83
construcao_ferramentas_seguranca,Summer,2018,4.04
construcao_ferramentas_seguranca,Winter,2018,3.93
cool_stuff,Fall,2016,3.75
cool_stuff,Fall,2017,4.15
cool_stuff,Spring,2017,4.21
cool_stuff,Summer,2017,4.31
cool_stuff,Winter,2017,4.28
cool_stuff,Spring,2018,4.09
cool_stuff,Summer,2018,4.09
cool_stuff,Winter,2018,3.97
dvds_blu_ray,Fall,2017,4
dvds_blu_ray,Spring,2017,4.42
dvds_blu_ray,Summer,2017,3.5
dvds_blu_ray,Winter,2017,3.75
dvds_blu_ray,Spring,2018,4.17
dvds_blu_ray,Summer,2018,4
dvds_blu_ray,Winter,2018,5
eletrodomesticos,Fall,2017,4.09
eletrodomesticos,Spring,2017,4.42
eletrodomesticos,Summer,2017,4.02
eletrodomesticos,Winter,2017,4.29
eletrodomesticos,Spring,2018,4.15
eletrodomesticos,Summer,2018,4.25
eletrodomesticos,Winter,2018,4.14
eletrodomesticos_2,Fall,2017,3.76
eletrodomesticos_2,Spring,2017,3.73
eletrodomesticos_2,Summer,2017,4.25
eletrodomesticos_2,Winter,2017,4.78
eletrodomesticos_2,Spring,2018,4.42
eletrodomesticos_2,Summer,2018,4.04
eletrodomesticos_2,Winter,2018,4.05
eletronicos,Fall,2016,3
eletronicos,Fall,2017,4.06
eletronicos,Spring,2017,3.99
eletronicos,Summer,2017,4.14
eletronicos,Winter,2017,4.2
eletronicos,Spring,2018,4.09
eletronicos,Summer,2018,4.15
eletronicos,Winter,2018,3.92
eletroportateis,Fall,2017,4.02
eletroportateis,Spring,2017,4.26
eletroportateis,Summer,2017,4
eletroportateis,Winter,2017,4.69
eletroportateis,Spring,2018,4.08
eletroportateis,Summer,2018,4.13
eletroportateis,Winter,2018,4.19
esporte_lazer,Fall,2016,3.95
esporte_lazer,Fall,2017,4.18
esporte_lazer,Spring,2017,4.14
esporte_lazer,Summer,2017,4.23
esporte_lazer,Winter,2017,4.2
esporte_lazer,Spring,2018,4.08
esporte_lazer,Summer,2018,4.32
esporte_lazer,Winter,2018,3.84
fashion_bolsas_e_acessorios,Fall,2016,3.4
fashion_bolsas_e_acessorios,Fall,2017,3.83
fashion_bolsas_e_acessorios,Spring,2017,4.18
fashion_bolsas_e_acessorios,Summer,2017,4.17
fashion_bolsas_e_acessorios,Winter,2017,4.27
fashion_bolsas_e_acessorios,Spring,2018,4.3
fashion_bolsas_e_acessorios,Summer,2018,4.32
fashion_bolsas_e_acessorios,Winter,2018,4.21
fashion_calcados,Fall,2016,5
fashion_calcados,Fall,2017,4.17
fashion_calcados,Spring,2017,4.2
fashion_calcados,Summer,2017,4.38
fashion_calcados,Winter,2017,4.54
fashion_calcados,Spring,2018,4.26
fashion_calcados,Summer,2018,4.45
fashion_calcados,Winter,2018,3.87
fashion_esporte,Fall,2017,4.5
fashion_esporte,Spring,2017,4.5
fashion_esporte,Summer,2017,3.2
fashion_esporte,Winter,2017,5
fashion_esporte,Spring,2018,5
fashion_esporte,Summer,2018,3
fashion_esporte,Winter,2018,4.33
fashion_roupa_feminina,Fall,2016,5
fashion_roupa_feminina,Fall,2017,3.14
fashion_roupa_feminina,Spring,2017,3.33
fashion_roupa_feminina,Summer,2017,4.3
fashion_roupa_feminina,Winter,2017,3.29
fashion_roupa_feminina,Spring,2018,4
fashion_roupa_feminina,Summer,2018,3.67
fashion_roupa_feminina,Winter,2018,4.38
fashion_roupa_infanto_juvenil,Fall,2017,5
fashion_roupa_infanto_juvenil,Spring,2017,5
fashion_roupa_infanto_juvenil,Summer,2017,1
fashion_roupa_infanto_juvenil,Spring,2018,5
fashion_roupa_infanto_juvenil,Winter,2018,5
fashion_roupa_masculina,Fall,2016,1
fashion_roupa_masculina,Fall,2017,3.22
fashion_roupa_masculina,Spring,2017,3.65
fashion_roupa_masculina,Summer,2017,3.41
fashion_roupa_masculina,Winter,2017,4.15
fashion_roupa_masculina,Spring,2018,4.75
fashion_roupa_masculina,Summer,2018,4.92
fashion_roupa_masculina,Winter,2018,3.6
fashion_underwear_e_moda_praia,Fall,2017,3.96
fashion_underwear_e_moda_praia,Spring,2017,3.92
fashion_underwear_e_moda_praia,Summer,2017,4.39
fashion_underwear_e_moda_praia,Winter,2017,3.86
fashion_underwear_e_moda_praia,Spring,2018,4.35
fashion_underwear_e_moda_praia,Summer,2018,2.6
fashion_underwear_e_moda_praia,Winter,2018,3.55
ferramentas_jardim,Fall,2016,4.2
ferramentas_jardim,Fall,2017,3.97
ferramentas_jardim,Spring,2017,4.02
ferramentas_jardim,Summer,2017,4.28
ferramentas_jardim,Winter,2017,4.05
ferramentas_jardim,Spring,2018,4.11
ferramentas_jardim,Summer,2018,4.24
ferramentas_jardim,Winter,2018,3.81
flores,Fall,2017,4.43
flores,Spring,2018,4.13
flores,Summer,2018,5
flores,Winter,2018,4.5
fraldas_higiene,Fall,2016,5
fraldas_higiene,Fall,2017,1
fraldas_higiene,Spring,2018,3.94
fraldas_higiene,Summer,2018,3.56
fraldas_higiene,Winter,2018,1.89
industria_comercio_e_negocios,Fall,2016,4.25
industria_comercio_e_negocios,Fall,2017,4.24
industria_comercio_e_negocios,Spring,2017,3.67
industria_comercio_e_negocios,Summer,2017,4.43
industria_comercio_e_negocios,Winter,2017,4.33
industria_comercio_e_negocios,Spring,2018,4.15
industria_comercio_e_negocios,Summer,2018,4.03
industria_comercio_e_negocios,Winter,2018,3.99
informatica_acessorios,Fall,2016,2.76
informatica_acessorios,Fall,2017,3.92
informatica_acessorios,Spring,2017,4.06
informatica_acessorios,Summer,2017,4.12
informatica_acessorios,Winter,2017,4.05
informatica_acessorios,Spring,2018,3.93
informatica_acessorios,Summer,2018,4.2
informatica_acessorios,Winter,2018,3.7
instrumentos_musicais,Fall,2017,4.07
instrumentos_musicais,Spring,2017,3.91
instrumentos_musicais,Summer,2017,3.98
instrumentos_musicais,Winter,2017,4.33
instrumentos_musicais,Spring,2018,4.28
instrumentos_musicais,Summer,2018,4.34
instrumentos_musicais,Winter,2018,4.11
la_cuisine,Fall,2017,5
la_cuisine,Spring,2017,3
la_cuisine,Summer,2017,5
la_cuisine,Spring,2018,2
la_cuisine,Winter,2018,5
livros_importados,Fall,2017,4.5
livros_importados,Spring,2017,3.67
livros_importados,Summer,2017,5
livros_importados,Winter,2017,1
livros_importados,Spring,2018,4.9
livros_importados,Summer,2018,3.91
livros_importados,Winter,2018,4.15
livros_interesse_geral,Fall,2016,5
livros_interesse_geral,Fall,2017,4.39
livros_interesse_geral,Spring,2017,4.35
livros_interesse_geral,Summer,2017,4.57
livros_interesse_geral,Winter,2017,4.53
livros_interesse_geral,Spring,2018,4.42
livros_interesse_geral,Summer,2018,4.34
livros_interesse_geral,Winter,2018,4.54
livros_tecnicos,Fall,2016,1
livros_tecnicos,Fall,2017,4.41
livros_tecnicos,Spring,2017,4.67
livros_tecnicos,Summer,2017,4.5
livros_tecnicos,Winter,2017,4.67
livros_tecnicos,Spring,2018,4.42
livros_tecnicos,Summer,2018,4.38
livros_tecnicos,Winter,2018,4.23
malas_acessorios,Fall,2017,4.41
malas_acessorios,Spring,2017,4.39
malas_acessorios,Summer,2017,4.45
malas_acessorios,Winter,2017,4.42
malas_acessorios,Spring,2018,4.33
malas_acessorios,Summer,2018,4.37
malas_acessorios,Winter,2018,4.02
market_place,Fall,2016,4.54
market_place,Fall,2017,4.05
market_place,Spring,2017,4.08
market_place,Summer,2017,3.89
market_place,Winter,2017,4.1
market_place,Spring,2018,4
market_place,Summer,2018,4.07
market_place,Winter,2018,3.86
moveis_colchao_e_estofado,Fall,2017,4.5
moveis_colchao_e_estofado,Spring,2017,3.75
moveis_colchao_e_estofado,Summer,2017,3.75
moveis_colchao_e_estofado,Spring,2018,3
moveis_colchao_e_estofado,Summer,2018,3
moveis_colchao_e_estofado,Winter,2018,3.68
moveis_cozinha_area_de_servico_jantar_e_jardim,Fall,2017,3.84
moveis_cozinha_area_de_servico_jantar_e_jardim,Spring,2017,4.05
moveis_cozinha_area_de_servico_jantar_e_jardim,Summer,2017,4.35
moveis_cozinha_area_de_servico_jantar_e_jardim,Winter,2017,4.5
moveis_cozinha_area_de_servico_jantar_e_jardim,Spring,2018,3.78
moveis_cozinha_area_de_servico_jantar_e_jardim,Summer,2018,3.95
moveis_cozinha_area_de_servico_jantar_e_jardim,Winter,2018,4.09
moveis_decoracao,Fall,2016,3.62
moveis_decoracao,Fall,2017,3.76
moveis_decoracao,Spring,2017,3.9
moveis_decoracao,Summer,2017,4.12
moveis_decoracao,Winter,2017,3.96
moveis_decoracao,Spring,2018,3.93
moveis_decoracao,Summer,2018,4.18
moveis_decoracao,Winter,2018,3.68
moveis_escritorio,Fall,2016,1.6
moveis_escritorio,Fall,2017,3.23
moveis_escritorio,Spring,2017,3.82
moveis_escritorio,Summer,2017,3.91
moveis_escritorio,Winter,2017,3.33
moveis_escritorio,Spring,2018,3.58
moveis_escritorio,Summer,2018,3.72
moveis_escritorio,Winter,2018,3.12
moveis_quarto,Fall,2017,4.3
moveis_quarto,Spring,2017,3.69
moveis_quarto,Summer,2017,4.11
moveis_quarto,Winter,2017,5
moveis_quarto,Spring,2018,4.05
moveis_quarto,Summer,2018,4.04
moveis_quarto,Winter,2018,4.16
moveis_sala,Fall,2017,3.9
moveis_sala,Spring,2017,3.86
moveis_sala,Summer,2017,4.19
moveis_sala,Winter,2017,4.2
moveis_sala,Spring,2018,3.49
moveis_sala,Summer,2018,4.05
moveis_sala,Winter,2018,3.69
musica,Fall,2017,5
musica,Spring,2017,4.33
musica,Summer,2017,3.25
musica,Winter,2017,5
musica,Spring,2018,3.87
musica,Summer,2018,4.78
musica,Winter,2018,4.33
papelaria,Fall,2017,4.17
papelaria,Spring,2017,4.39
papelaria,Summer,2017,4.25
papelaria,Winter,2017,4.6
papelaria,Spring,2018,4.18
papelaria,Summer,2018,4.47
papelaria,Winter,2018,3.99
pc_gamer,Spring,2017,3.33
pc_gamer,Summer,2017,4
pc_gamer,Summer,2018,3.75
pc_gamer,Winter,2018,1
pcs,Fall,2017,4.31
pcs,Summer,2017,4.37
pcs,Winter,2017,4.5
pcs,Spring,2018,4.54
pcs,Summer,2018,3.75
pcs,Winter,2018,3.31
perfumaria,Fall,2016,4.15
perfumaria,Fall,2017,4.15
perfumaria,Spring,2017,4.11
perfumaria,Summer,2017,4.17
perfumaria,Winter,2017,4.31
perfumaria,Spring,2018,4.23
perfumaria,Summer,2018,4.38
perfumaria,Winter,2018,3.96
pet_shop,Fall,2016,4.25
pet_shop,Fall,2017,4.17
pet_shop,Spring,2017,4.25
pet_shop,Summer,2017,4.09
pet_shop,Winter,2017,4.44
pet_shop,Spring,2018,4.11
pet_shop,Summer,2018,4.38
pet_shop,Winter,2018,4.03
portateis_casa_forno_e_cafe,Fall,2017,1
portateis_casa_forno_e_cafe,Summer,2017,3
portateis_casa_forno_e_cafe,Spring,2018,4.29
portateis_casa_forno_e_cafe,Summer,2018,4.56
portateis_casa_forno_e_cafe,Winter,2018,4.22
portateis_cozinha_e_preparadores_de_alimentos,Spring,2018,5
portateis_cozinha_e_preparadores_de_alimentos,Summer,2018,3
relogios_presentes,Fall,2016,4
relogios_presentes,Fall,2017,4.05
relogios_presentes,Spring,2017,4.07
relogios_presentes,Summer,2017,4.2
relogios_presentes,Winter,2017,4.34
relogios_presentes,Spring,2018,4.03
relogios_presentes,Summer,2018,4.05
relogios_presentes,Winter,2018,3.78
seguros_e_servicos,Summer,2017,1
seguros_e_servicos,Winter,2017,4
sinalizacao_e_seguranca,Fall,2017,3.41
sinalizacao_e_seguranca,Spring,2017,4.22
sinalizacao_e_seguranca,Summer,2017,4.53
sinalizacao_e_seguranca,Spring,2018,3.99
sinalizacao_e_seguranca,Summer,2018,4.39
sinalizacao_e_seguranca,Winter,2018,3.83
tablets_impressao_imagem,Fall,2017,4.36
tablets_impressao_imagem,Spring,2017,4.28
tablets_impressao_imagem,Summer,2017,3.8
tablets_impressao_imagem,Winter,2017,4.1
tablets_impressao_imagem,Spring,2018,5
tablets_impressao_imagem,Summer,2018,4
tablets_impressao_imagem,Winter,2018,3.84
telefonia,Fall,2016,3.55
telefonia,Fall,2017,3.9
telefonia,Spring,2017,3.96
telefonia,Summer,2017,4.18
telefonia,Winter,2017,4.07
telefonia,Spring,2018,3.9
telefonia,Summer,2018,3.99
telefonia,Winter,2018,3.87
telefonia_fixa,Fall,2016,4
telefonia_fixa,Fall,2017,2.96
telefonia_fixa,Spring,2017,3.23
telefonia_fixa,Summer,2017,4.28
telefonia_fixa,Winter,2017,4.07
telefonia_fixa,Spring,2018,3.51
telefonia_fixa,Summer,2018,3.85
telefonia_fixa,Winter,2018,3.48
utilidades_domesticas,Fall,2016,3.08
utilidades_domesticas,Fall,2017,4
utilidades_domesticas,Spring,2017,4.11
utilidades_domesticas,Summer,2017,4.19
utilidades_domesticas,Winter,2017,4.08
utilidades_domesticas,Spring,2018,4
utilidades_domesticas,Summer,2018,4.19
utilidades_domesticas,Winter,2018,3.87
